Intuniv;Attention Deficit Disorder with Hyperactivity;guanfacine;guanfacine hydrochloride;C02AC02;Shire Pharmaceuticals Ireland Ltd;Antihypertensives, , Antiadrenergic agents, centrally acting
Veklury;Coronavirus Infections;remdesivir;remdesivir;No Information;Gilead Sciences Ireland UC;No Information aviable
Afinitor;Carcinoma, Renal Cell, Breast Neoplasms, Pancreatic Neoplasms;everolimus;everolimus;L01XE10;Novartis Europharm Limited;Antineoplastic agents, 
Biktarvy;HIV Infections;bictegravir / emtricitabine / tenofovir alafenamide;bictegravir, emtricitabine, tenofovir alafenamide, fumarate;J05AR;Gilead Sciences Ireland UC;Antivirals for systemic use, 
Fingolimod Accord;Multiple Sclerosis, Relapsing-Remitting;fingolimod;fingolimod hydrochloride ;L04AA27;Accord Healthcare S.L.U.;Immunosuppressants, Selective immunosuppressants
Synjardy;Diabetes Mellitus, Type 2;empagliflozin / metformin;empagliflozin, metformin;A10BD20;Boehringer Ingelheim;Drugs used in diabetes, 
Thymanax;Depressive Disorder, Major;Agomelatine;Agomelatine;N06AX22;Servier (Ireland) Industries Ltd;Psychoanaleptics, 
Valdoxan;Depressive Disorder, Major;Agomelatine;Agomelatine;N06AX22;Les Laboratoires Servier;Psychoanaleptics, 
Zoely;Contraception;nomegestrol / estradiol;Nomegestrol acetate, estradiol;G03AA14;Theramex Ireland Limited;Sex hormones and modulators of the genital system, 
Combivir;HIV Infections;lamivudine / zidovudine;lamivudine, zidovudine;J05AR01;ViiV Healthcare BV;Antivirals for systemic use, 
Flixabi;Spondylitis, Ankylosing, Arthritis, Rheumatoid, Crohn Disease, Colitis, Ulcerative, Arthritis, Psoriatic, Psoriasis;infliximab;infliximab;L04AB02;Samsung Bioepis NL B.V.;Immunosuppressants
Evra;Contraception;norelgestromin / ethinyl estradiol;norelgestromin, ethinyl estradiol;G03AA13;Janssen-Cilag International NV;Sex hormones and modulators of the genital system, 
Dupixent;Dermatitis, Atopic;dupilumab;dupilumab;D11AH05;sanofi-aventis groupe;Immunosuppressants
Vemlidy;Hepatitis B;tenofovir alafenamide;tenofovir alafenamide fumarate;J05AF;Gilead Sciences Ireland UC;Antivirals for systemic use, 
Hexacima;Hepatitis B, Tetanus, Immunization, Meningitis, Haemophilus, Whooping Cough, Poliomyelitis, Diphtheria;diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus influenzae type-b conjugate vaccine (adsorbed);diphtheria toxoid / tetanus toxoid, two-component acellular pertussis (pertussis toxoid and filamentous haemagglutinin ) / inactivated poliomyelitis virus types 1,2 and 3 / Haemophilus influenzae type-b polysaccharide (polyribosylribitol phosphate) conjugated to tetanus protein, hepatitis-B surface antigen;J07CA09;Sanofi Pasteur;Vaccines, , Bacterial and viral vaccines, combined
Cyramza;Stomach Neoplasms;ramucirumab;Ramucirumab;L01XC;Eli Lilly Nederland B.V.;Antineoplastic agents, 
Bortezomib Fresenius Kabi;Multiple Myeloma;bortezomib;bortezomib;L01XX32;Fresenius Kabi Deutschland GmbH;Antineoplastic agents, 
Ziagen;HIV Infections;abacavir;abacavir;J05AF06;ViiV Healthcare B.V.;Antivirals for systemic use, 
Hexyon;Hepatitis B, Tetanus, Immunization, Meningitis, Haemophilus, Whooping Cough, Poliomyelitis, Diphtheria;diphtheria (D), tetanus (T), pertussis (acellular, component) (Pa), hepatitis B (rDNA) (HBV), poliomyelitis (inactivated) (IPV) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed);diphtheria toxoid adsorbed on aluminium hydroxide, hydrated, filamentous haemagglutinin, Haemophilus influenzae type B polysaccharide (polyribosylribitol phosphate), hepatitis B surface antigen, pertussis toxoid, poliovirus (inactivated) type 1 (Mahoney strain) produced on Vero cells, poliovirus (inactivated) type 2 (MEF-1 strain) produced on Vero cells, poliovirus (inactivated) type 3 (Saukett strain) produced on Vero cells, tetanus protein, tetanus toxoid adsorbed on aluminium hydroxide, hydrated;J07CA09;Sanofi Pasteur Europe;Vaccines, 
Soliris;Hemoglobinuria, Paroxysmal;eculizumab;Eculizumab;L04AA25;Alexion Europe SAS;Immunosuppressants
Velphoro;Hyperphosphatemia, Renal Dialysis;mixture of polynuclear iron(III)-oxyhydroxide, sucrose and starches;mixture of polynuclear iron(III)-oxyhydroxide, sucrose and starches;V03AE05;Vifor Fresenius Medical Care Renal Pharma France;Drugs for treatment of hyperkalemia and hyperphosphatemia
Siklos;Anemia, Sickle Cell;hydroxycarbamide;hydroxycarbamide;L01XX05;Addmedica;Antineoplastic agents, 
Akynzeo;Vomiting, Cancer, Nausea;netupitant / palonosetron;netupitant, palonosetron hydrochloride;A04AA;Helsinn Birex Pharmaceuticals Ltd;Antiemetics and antinauseants, 
Nplate;Purpura, Thrombocytopenic, Idiopathic;romiplostim;romiplostim;B02BX04;Amgen Europe B.V.;Antihemorrhagics, 
Kymriah;Precursor B-Cell Lymphoblastic Leukemia-Lymphoma, Lymphoma, Large B-Cell, Diffuse;tisagenlecleucel;tisagenlecleucel;L01;Novartis Europharm Limited;Antineoplastic agents, 
Telzir;HIV Infections;fosamprenavir;fosamprenavir calcium;J05AE07;ViiV Healthcare BV;Antivirals for systemic use, 
Capecitabine Teva;Colonic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Stomach Neoplasms;capecitabine;capecitabine;L01BC06;Teva Pharma B.V.;Antineoplastic agents, 
Spherox;Cartilage Diseases;spheroids of human autologous matrix-associated chondrocytes;spheroids of human autologous matrix-associated chondrocytes;M09AX02;CO.DON AG;Other drugs for disorders of the musculo-skeletal system
Grastofil;Neutropenia;filgrastim;filgrastim;L03AA02;Accord Healthcare, SLU;Immunostimulants, 
Idelvion;Hemophilia B;albutrepenonacog alfa;albutrepenonacog alfa;B02BD04;CSL Behring GmbH;Antihemorrhagics, 
Epidyolex;Lennox Gastaut Syndrome, Epilepsies, Myoclonic;cannabidiol;Cannabidiol;N03AX;GW Pharma (International) B.V.;Antiepileptics, 
Bondronat;Hypercalcemia, Breast Neoplasms, Neoplasm Metastasis, Fractures, Bone;ibandronic acid;ibandronic acid;M05BA06;Atnahs Pharma Netherlands B.V.;Drugs for treatment of bone diseases
Kineret;Arthritis, Rheumatoid;anakinra;anakinra;L04AC03;Swedish Orphan Biovitrum AB (publ);Immunosuppressants
Eviplera;HIV Infections;emtricitabine / rilpivirine / tenofovir disoproxil;emtricitabine, rilpivirine hydrochloride / tenofovir disoproxil fumarate;J05AR08;Gilead Sciences International Ltd ;Antivirals for systemic use, 
Efient;Acute Coronary Syndrome, Angina, Unstable, Myocardial Infarction;prasugrel;prasugrel;B01AC22;Daiichi Sankyo Europe GmbH;Antithrombotic agents, 
Symkevi;Cystic Fibrosis;tezacaftor / ivacaftor;tezacaftor, ivacaftor;R07AX31;Vertex Pharmaceuticals (Ireland) Limited;Other respiratory system products
Xermelo;Carcinoid Tumor, Neuroendocrine Tumors;telotristat ethyl;telotristat etiprate;A16A;Ipsen Pharma;Other alimentary tract and metabolism products
Pregabalin Sandoz;Anxiety Disorders, Neuralgia, Epilepsy;pregabalin;pregabalin;N03AX16;Sandoz GmbH;Antiepileptics, 
Pradaxa;Arthroplasty, Replacement, Venous Thromboembolism;dabigatran etexilate;Dabigatran etexilate mesilate;B01AE07;Boehringer Ingelheim International GmbH;Antithrombotic agents, 
ProQuad;Chickenpox, Rubella, Measles, Mumps, Immunization;measles, mumps, rubella and varicella vaccine (live);virus, live attenuated, measles, virus, live attenuated, mumps, virus, live attenuated, rubella, virus, live attenuated, varicella;J07BD54;MSD VACCINS;Vaccines, 
Epivir;HIV Infections;lamivudine;lamivudine;J05AF05;ViiV Healthcare BV;Antivirals for systemic use, 
Januvia;Diabetes Mellitus, Type 2;sitagliptin;sitagliptin;A10BH01;Merck Sharp and Dohme B.V;Drugs used in diabetes, 
Yescarta;Lymphoma, Follicular, Lymphoma, Large B-Cell, Diffuse;axicabtagene ciloleucel;axicabtagene ciloleucel;L01X;Kite Pharma EU B.V.;Antineoplastic agents, 
Exjade;beta-Thalassemia, Iron Overload;deferasirox;deferasirox;V03AC03;Novartis Europharm Limited;All other therapeutic products
Kivexa;HIV Infections;abacavir / lamivudine;abacavir, lamivudine;J05AR02;ViiV Healthcare BV;Antivirals for treatment of HIV infections, combinations, Antivirals for systemic use, 
Pregabalin Sandoz GmbH;Anxiety Disorders, Epilepsy;pregabalin;pregabalin;N03AX16;Sandoz GmbH;Antiepileptics, 
Nilemdo;Hypercholesterolemia, Dyslipidemias;bempedoic acid;Bempedoic acid;C10AX;Daiichi Sankyo Europe GmbH;Lipid modifying agents
Avastin;Carcinoma, Non-Small-Cell Lung, Breast Neoplasms, Ovarian Neoplasms, Colorectal Neoplasms, Carcinoma, Renal Cell;bevacizumab;bevacizumab;L01XC07;Roche Registration GmbH;Antineoplastic agents, 
Bemrist Breezhaler;Asthma;indacaterol, mometasone;indacaterol, Mometasone furoate;R03AK;Novartis Europharm Limited ;Drugs for obstructive airway diseases, 
Elaprase;Mucopolysaccharidosis II;idursulfase;idursulfase;A16AB09;Shire Human Genetic Therapies AB;Other alimentary tract and metabolism products, 
Lamivudine Teva;Hepatitis B, Chronic;lamivudine;lamivudine;J05AF05;Teva B.V.;Antivirals for systemic use, 
Daxas;Pulmonary Disease, Chronic Obstructive;roflumilast;roflumilast;R03DX07;AstraZeneca AB;Drugs for obstructive airway diseases, 
Deferasirox Mylan;Iron Overload, beta-Thalassemia;deferasirox;deferasirox;V03AC03;Mylan S.A.S;Iron chelating agents
Galafold;Fabry Disease;migalastat;migalastat hydrochloride;A16AX;Amicus Therapeutics Europe Limited;migalastat
Circadin;Sleep Initiation and Maintenance Disorders;melatonin;melatonin;N05CH01;RAD Neurim Pharmaceuticals EEC SARL;Psycholeptics, 
Pazenir;Breast Neoplasms;paclitaxel;paclitaxel;L01CD01;ratiopharm GmbH;Antineoplastic agents, 
Imvanex;Smallpox Vaccine;modified vaccinia Ankara virus;modified vaccinia Ankara - Bavarian Nordic (MVA-BN) virus;J07BX;Bavarian Nordic A/S;Other viral vaccines, 
Zoledronic acid medac;Fractures, Bone, Cancer;zoledronic acid;zoledronic acid monohydrate;M05BA08;medac Gesellschaft für klinische Spezialpräparate mbH;Drugs for treatment of bone diseases
Velmetia;Diabetes Mellitus, Type 2;sitagliptin / metformin;sitagliptin, metformin hydrochloride;A10BD07;Merck Sharp & Dohme B.V.;Drugs used in diabetes, 
Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen);Schizophrenia, Bipolar Disorder;aripiprazole;aripiprazole;N05AX12;Mylan S.A.S;Psycholeptics, 
Cervarix;Papillomavirus Infections, Uterine Cervical Dysplasia, Immunization;human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed);human papillomavirus1 type 16 L1 protein, human papillomavirus type 18 L1 protein;J07BM02;GlaxoSmithKline Biologicals S.A.;Vaccines, 
Trumenba;Meningitis, Meningococcal;meningococcal group b vaccine (recombinant, adsorbed);"Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily A; Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily B";J07AH09;Pfizer Europe MA EEIG;Meningococcal vaccines, Bacterial vaccines
Fertavid;Infertility, Hypogonadism;follitropin beta;follitropin beta;G03GA06;Merck Sharp & Dohme B.V. ;Sex hormones and modulators of the genital system, 
Atectura Breezhaler;Asthma;indacaterol, mometasone;indacaterol acetate, Mometasone furoate;R03AK;Novartis Europharm Limited ;Drugs for obstructive airway diseases, 
Carmustine Obvius;Hodgkin Disease, Lymphoma, Non-Hodgkin;carmustine;carmustine;L01AD01;Obvius Investment B.V.;Antineoplastic agents, 
Irbesartan Zentiva (previously Irbesartan Winthrop);Hypertension;irbesartan;irbesartan;C09CA04;Zentiva k.s.;Agents acting on the renin-angiotensin system
Kalydeco;Cystic Fibrosis;ivacaftor;ivacaftor;R07AX02;Vertex Pharmaceuticals (Ireland) Limited;Other respiratory system products
Firdapse (previously Zenas);Lambert-Eaton Myasthenic Syndrome;amifampridine;amifampridine;N07XX05;BioMarin International Limited;Other nervous system drugs, 
Duavive;Postmenopause;oestrogens conjugated / bazedoxifene;oestrogens conjugated, bazedoxifene;G03CC07;Pfizer Europe MA EEIG;conjugated estrogens and bazedoxifene
Maviret;Hepatitis C, Chronic;glecaprevir / pibrentasvir;glecaprevir / pibrentasvir;J05AP57;AbbVie Deutschland GmbH  Co. KG;Antivirals for systemic use, 
Cablivi;Purpura, Thrombotic Thrombocytopenic;caplacizumab;Caplacizumab;B01A;Ablynx NV;Antithrombotic agents, 
Vaxchora;Cholera;Cholera vaccine (recombinant, live, oral);vibrio cholerae, strain cvd 103-hgr, live;J07AE02;Emergent Netherlands B.V.;Vaccines, 
Vizamyl;Radionuclide Imaging, Alzheimer Disease;flutemetamol (18F);flutemetamol (18F);V09AX04;GE Healthcare AS;Diagnostic radiopharmaceuticals
Signifor;Acromegaly, Pituitary ACTH Hypersecretion;pasireotide;pasireotide;H01CB05;Recordati Rare Diseases;Pituitary and hypothalamic hormones and analogues
Lamivudine Teva Pharma B.V.;HIV Infections;lamivudine;lamivudine;J05AF05;Teva B.V. ;Antivirals for systemic use, 
Elebrato Ellipta;Pulmonary Disease, Chronic Obstructive;fluticasone furoate / umeclidinium / vilanterol;fluticasone furoate, umeclidinium bromide, vilanterol trifenatate;R03AL08;GlaxoSmithKline Trading Services Limited;Drugs for obstructive airway diseases, 
Alecensa;Carcinoma, Non-Small-Cell Lung;alectinib;alectinib hydrochloride;L01XE;Roche Registration GmbH;Antineoplastic agents, 
Praluent;Dyslipidemias;alirocumab;Alirocumab;C10AX14;sanofi-aventis groupe;Lipid modifying agents
Spectrila;Precursor Cell Lymphoblastic Leukemia-Lymphoma;asparaginase;asparaginase;L01XX02;Medac Gesellschaft fuer klinische Spezialpraeparate mbH;Antineoplastic agents, 
Keytruda;Melanoma, Hodgkin Disease, Carcinoma, Non-Small-Cell Lung;pembrolizumab;Pembrolizumab;L01;Merck Sharp & Dohme B.V.;Antineoplastic agents, 
Multaq;Atrial Fibrillation;dronedarone;dronedarone;C01BD07;Sanofi-aventis groupe;Cardiac therapy
Refixia;Hemophilia B;nonacog beta pegol;Nonacog beta pegol;B02BD04;Novo Nordisk A/S;Antihemorrhagics, 
Mepact;Osteosarcoma;mifamurtide;mifamurtide;L03AX15;Takeda France SAS;Immunostimulants, 
Talzenna;Breast Neoplasms;talazoparib;talazoparib;L01XX;Pfizer Europe MA EEIG;Antineoplastic agents, 
Aripiprazole Zentiva;Schizophrenia, Bipolar Disorder;aripiprazole;aripiprazole;N05AX12;Zentiva, k.s.;Psycholeptics, 
Icandra (previously Vildagliptin / metformin hydrochloride Novartis);Diabetes Mellitus, Type 2;vildagliptin / metformin;vildagliptin, metformin hydrochloride;A10BD08;Novartis Europharm Limited;Drugs used in diabetes, , Combinations of oral blood glucose lowering drugs
Xelevia;Diabetes Mellitus, Type 2;sitagliptin;sitagliptin;A10BH01;Merck Sharp & Dohme B.V.;Drugs used in diabetes, 
Prezista;HIV Infections;darunavir;darunavir;J05AE10;Janssen-Cilag International NV;Antivirals for systemic use, 
Miglustat Gen.Orph;Gaucher Disease;miglustat;miglustat;A16AX06;Gen.Orph;Other alimentary tract and metabolism products, 
Herzuma;Stomach Neoplasms, Breast Neoplasms;trastuzumab;trastuzumab;L01XC03;Celltrion Healthcare Hungary Kft.;Antineoplastic agents, 
Mulpleo (previously Lusutrombopag Shionogi);Thrombocytopenia;lusutrombopag;Lusutrombopag;B02BX;Shionogi B.V.;Antihemorrhagics, 
Karvea;Hypertension;irbesartan;irbesartan;C09CA04;Sanofi-aventis groupe;Agents acting on the renin-angiotensin system
Descovy;HIV Infections;emtricitabine / tenofovir alafenamide;emtricitabine, tenofovir alafenamide;J05AR17;Gilead Sciences Ireland UC;Antivirals for systemic use, 
Farydak;Multiple Myeloma;panobinostat;panobinostat lactate anhydrous;L01XX42;Secura Bio Limited;Other antineoplastic agents
Orencia;Arthritis, Psoriatic, Arthritis, Juvenile Rheumatoid, Arthritis, Rheumatoid;abatacept;Abatacept;L04AA24;Bristol-Myers Squibb Pharma EEIG;Immunosuppressants
Pemetrexed Lilly;Carcinoma, Non-Small-Cell Lung, Mesothelioma;pemetrexed;pemetrexed;L01BA04;Eli Lilly Netherlands;Antineoplastic agents, 
Isturisa;Cushing Syndrome;osilodrostat;Osilodrostat phosphate;H02CA02;Recordati Rare Diseases;Corticosteroids for systemic use
Kisqali;Breast Neoplasms;ribociclib;ribociclib succinate;L01XE;Novartis Europharm Limited;Antineoplastic agents, 
Defitelio;Hepatic Veno-Occlusive Disease;defibrotide;defibrotide;B01AX01;Gentium S.r.l.;Antithrombotic agents, 
Olazax Disperzi;Schizophrenia, Bipolar Disorder;olanzapine;olanzapine;N05AH03;Glenmark Pharmaceuticals s.r.o. ;Psycholeptics, 
Braftovi;Melanoma;encorafenib;Encorafenib;L01XE46;Pierre Fabre Medicament;Antineoplastic agents, 
Ikervis;Corneal Diseases;ciclosporin;ciclosporin;S01XA18;Santen Oy;Ophthalmologicals, 
Vimpat;Epilepsy;lacosamide;lacosamide;N03AX18;UCB Pharma SA;Antiepileptics, 
Janumet;Diabetes Mellitus, Type 2;sitagliptin / metformin;sitagliptin, metformin hydrochloride;A10BD07;Merck Sharp & Dohme B.V.;Drugs used in diabetes, 
Yellox;Pain, Postoperative, Ophthalmologic Surgical Procedures;bromfenac;bromfenac sodium sesquihydrate;S01BC11;Bausch Health Ireland Limited;Ophthalmologicals, 
Ivemend;Vomiting, Cancer;fosaprepitant;fosaprepitant;A04AD12;Merck Sharp & Dohme B.V.;Antiemetics and antinauseants, 
Oncaspar;Precursor Cell Lymphoblastic Leukemia-Lymphoma;pegaspargase;pegaspargase;L01XX24;Les Laboratoires Servier;Antineoplastic agents, 
Sancuso;Vomiting, Cancer;granisetron;granisetron;A04AA02;Kyowa Kirin Holdings B.V.;Antiemetics and antinauseants, , Serotonin (5HT3) antagonists
Kyprolis;Multiple Myeloma;carfilzomib;carfilzomib;L01XX45;Amgen Europe B.V.;Antineoplastic agents, 
Nustendi;Hypercholesterolemia, Dyslipidemias;bempedoic acid, ezetimibe;Bempedoic acid, Ezetimibe;C10B;Daiichi Sankyo Europe GmbH;Lipid modifying agents
Fiasp;Diabetes Mellitus;insulin aspart;insulin aspart;A10AB05;Novo Nordisk A/S;Drugs used in diabetes, , Insulins and analogues for injection, fast-acting 
Cabometyx ;Carcinoma, Renal Cell;cabozantinib;cabozantinib s-malate;L01XE26;Ipsen Pharma;Antineoplastic agents, 
Efavirenz/Emtricitabine/Tenofovir disoproxil Zentiva;HIV Infections;efavirenz / emtricitabine / tenofovir disoproxil;efavirenz, emtricitabine, tenofovir disoproxil, phosphate;J05AR06;Zentiva k.s.;Antivirals for systemic use, 
Zometa;Cancer, Fractures, Bone;zoledronic acid;zoledronic acid, zoledronic acid monohydrate;M05BA08;Novartis Europharm Limited;Drugs for treatment of bone diseases
Mysildecard;Hypertension, Pulmonary;sildenafil;sildenafil citrate;G04BE03;Mylan S.A.S.;Urologicals
Aclasta;Osteoporosis, Osteitis Deformans, Osteoporosis, Postmenopausal;zoledronic acid;zoledronic acid;M05BA08;Novartis Europharm Limited ;Drugs for treatment of bone diseases
Sarclisa;Multiple Myeloma;isatuximab;Isatuximab;L01;sanofi-aventis groupe ;Antineoplastic agents, 
Velcade;Multiple Myeloma;bortezomib;bortezomib;L01XX32;Janssen-Cilag International NV;Antineoplastic agents, 
Emgality;Migraine Disorders;galcanezumab;Galcanezumab;N02;Eli Lilly Nederland B.V.;Analgesics, Calcitonin gene-related peptide (CGRP) antagonists
Lyrica;Epilepsy, Anxiety Disorders, Neuralgia;pregabalin;pregabalin;N03AX16;Pfizer Europe MA EEIG;Antiepileptics, , Other antiepileptics
Evicel;Hemostasis, Surgical;human fibrinogen / human thrombin;human fibrinogen, human thrombin;B02BC;Omrix Biopharmaceuticals N. V.;Antihemorrhagics, 
Brineura;Neuronal Ceroid-Lipofuscinoses;cerliponase alfa;cerliponase alfa;A16AB;BioMarin International Limited;Other alimentary tract and metabolism products, 
Alunbrig;Carcinoma, Non-Small-Cell Lung;brigatinib;brigatinib;L01XE43;Takeda Pharma A/S;Antineoplastic agents, 
Simbrinza;Ocular Hypertension, Glaucoma, Open-Angle;brinzolamide / brimonidine tartrate;brinzolamide, brimonidine tartrate;S01EC54;Novartis Europharm Limited;Ophthalmologicals, 
Taxotere;Head and Neck Neoplasms, Carcinoma, Non-Small-Cell Lung, Adenocarcinoma, Prostatic Neoplasms, Stomach Neoplasms, Breast Neoplasms;docetaxel;docetaxel;L01CD02;Sanofi Mature IP;Antineoplastic agents, 
Emtricitabine/Tenofovir disoproxil Mylan;HIV Infections;emtricitabine / tenofovir disoproxil;emtricitabine, tenofovir disoproxil maleate;J05AR03;Mylan S.A.S;Antivirals for systemic use, 
Xaluprine (previously Mercaptopurine Nova Laboratories);Leukemia, Lymphoid;mercaptopurine;6-mercaptopurine monohydrate;L01BB02;Nova Laboratories Ireland Limited;Antineoplastic agents, 
Strimvelis;Severe Combined Immunodeficiency;autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence;autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells;L03;Orchard Therapeutics (Netherlands) BV;Immunostimulants, 
Tesavel;Diabetes Mellitus, Type 2;sitagliptin;sitagliptin;A10BH01;Merck Sharp & Dohme B.V.;Drugs used in diabetes, 
Thalidomide Celgene (previously Thalidomide Pharmion);Multiple Myeloma;thalidomide;Thalidomide;L04AX02;Celgene Europe BV ;Immunosuppressants
Yervoy;Melanoma;ipilimumab;Ipilimumab;L01XC11;Bristol-Myers Squibb Pharma EEIG;Antineoplastic agents, 
Revatio;Hypertension, Pulmonary;sildenafil;sildenafil;G04BE03;Upjohn EESV;Urologicals
Pregabalin Pfizer;Anxiety Disorders, Epilepsy;pregabalin;pregabalin;N03AX16;Upjohn EESV;Antiepileptics, 
Faslodex;Breast Neoplasms;fulvestrant;fulvestrant;L02BA03;AstraZeneca AB;Endocrine therapy, Anti-estrogens
Imfinzi;Carcinoma, Non-Small-Cell Lung;durvalumab;durvalumab;L01XC28;AstraZeneca AB;Antineoplastic agents, 
Alimta;Mesothelioma, Carcinoma, Non-Small-Cell Lung;pemetrexed;pemetrexed;L01BA04;Eli Lilly Nederland B.V.;Antineoplastic agents, 
Karvezide;Hypertension;irbesartan / hydrochlorothiazide;irbesartan, hydrochlorothiazide;C09DA04;Sanofi-aventis groupe;Agents acting on the renin-angiotensin system
Cometriq;Thyroid Neoplasms;cabozantinib;cabozantinib;L01XE;Ipsen Pharma;Antineoplastic agents, 
Revlimid;Multiple Myeloma, Lymphoma, Mantle-Cell, Myelodysplastic Syndromes;lenalidomide;lenalidomide;L04AX04;Celgene Europe BV;Immunosuppressants
Nivestim;Neutropenia, Hematopoietic Stem Cell Transplantation, Cancer;filgrastim;filgrastim;L03AA02;Pfizer Europe MA EEIG ;Immunostimulants, 
Brinavess;Atrial Fibrillation;vernakalant hydrochloride;Vernakalant hydrochloride;C01BG11;Correvio;Cardiac therapy
Tecentriq;Carcinoma, Transitional Cell, Carcinoma, Non-Small-Cell Lung;atezolizumab;atezolizumab;L01XC;Roche Registration GmbH;Antineoplastic agents, 
Inhixa;Venous Thromboembolism;enoxaparin sodium;enoxaparin sodium;B01AB05;Techdow Pharma Netherlands B.V. ;Antithrombotic agents, 
Pregabalin Zentiva;Anxiety Disorders, Epilepsy;pregabalin;pregabalin;N03AX16;Zentiva, k.s.;Antiepileptics, 
Tagrisso;Carcinoma, Non-Small-Cell Lung;osimertinib;osimertinib mesylate;L01XE;AstraZeneca AB;Other antineoplastic agents, Protein kinase inhibitors
Rybelsus;Diabetes Mellitus, Type 2;semaglutide;semaglutide;A10BJ06;Novo Nordisk A/S;Drugs used in diabetes, 
Quinsair;Cystic Fibrosis, Respiratory Tract Infections;levofloxacin;levofloxacin;J01MA12;Chiesi Farmaceutici S.p.A;Antibacterials for systemic use, 
Jentadueto;Diabetes Mellitus, Type 2;linagliptin / metformin hydrochloride;linagliptin, metformin;A10BD11;Boehringer Ingelheim International GmbH;Drugs used in diabetes, 
Zejula;Fallopian Tube Neoplasms, Peritoneal Neoplasms, Ovarian Neoplasms;niraparib;Niraparib (tosylate monohydrate);L01XX;GlaxoSmithKline (Ireland) Limited;Antineoplastic agents, 
Mylotarg;Leukemia, Myeloid, Acute;gemtuzumab ozogamicin;gemtuzumab ozogamicin;L01XC05;Pfizer Europe MA EEIG;Antineoplastic agents, 
Ristaben;Diabetes Mellitus, Type 2;sitagliptin;sitagliptin;A10BH01;Merck Sharp & Dohme B.V.;Drugs used in diabetes, 
Odomzo;Carcinoma, Basal Cell;sonidegib;sonidegib diphosphate;L01XX;Sun Pharmaceutical Industries Europe B.V.;Antineoplastic agents, 
Nulojix;Graft Rejection, Kidney Transplantation;belatacept;belatacept;L04AA28;Bristol-Myers Squibb Pharma EEIG;Immunosuppressants
Cystadrops;Cystinosis;mercaptamine;mercaptamine hydrochloride;S01XA21;Recordati Rare Diseases;Ophthalmologicals, 
